jv_spec_mie.dat: Aerosol optical properties at 5 wavelengths (clh, 01/30/10)
================================================================================
NW-SCATTER   56  ! Scattering phase fns, scale extinct @ 999 nm    (mjp 99/07)
W(nm)    Q    r-eff  ss-alb  pi(0) pi(1) pi(2) pi(3) pi(4) pi(5) pi(6) pi(7)
01 RAYLE  = Rayleigh phase
  200   123.5  0.001  1.0000  1.000   0.0 0.500   0.0   0.0   0.0   0.0   0.0
  300   123.5  0.001  1.0000  1.000   0.0 0.500   0.0   0.0   0.0   0.0   0.0
  400    39.1  0.001  1.0000  1.000   0.0 0.500   0.0   0.0   0.0   0.0   0.0
  600     7.7  0.001  1.0000  1.000   0.0 0.500   0.0   0.0   0.0   0.0   0.0
  999     1.0  0.001  1.0000  1.000   0.0 0.500   0.0   0.0   0.0   0.0   0.0
02 ISOTR  = isotropic
  200     1.0  0.001  1.0000  1.000   0.0   0.0   0.0   0.0   0.0   0.0   0.0
  300     1.0  0.001  1.0000  1.000   0.0   0.0   0.0   0.0   0.0   0.0   0.0
  400     1.0  0.001  1.0000  1.000   0.0   0.0   0.0   0.0   0.0   0.0   0.0
  600     1.0  0.001  1.0000  1.000   0.0   0.0   0.0   0.0   0.0   0.0   0.0
  999     1.0  0.001  1.0000  1.000   0.0   0.0   0.0   0.0   0.0   0.0   0.0
03 ABSRB  = fully absorbing 'soot', wavelength indep.
  200     1.0  0.039  0.0000  1.000   0.0   0.0   0.0   0.0   0.0   0.0   0.0
  300     1.0  0.039  0.0000  1.000   0.0   0.0   0.0   0.0   0.0   0.0   0.0
  400     1.0  0.039  0.0000  1.000   0.0   0.0   0.0   0.0   0.0   0.0   0.0
  600     1.0  0.039  0.0000  1.000   0.0   0.0   0.0   0.0   0.0   0.0   0.0
  999     1.0  0.039  0.0000  1.000   0.0   0.0   0.0   0.0   0.0   0.0   0.0
04 S_Bkg = backgrnd stratospheric sulfate (n=1.46, log-norm: r=.09um/sigma=.6)
  200  2.7541  0.221  1.0000  1.000 2.157 2.767 2.627 2.457 2.098 1.792 1.518
  300  2.7541  0.221  1.0000  1.000 2.157 2.767 2.627 2.457 2.098 1.792 1.518
  400  2.4017  0.221  1.0000  1.000 2.146 2.641 2.422 2.122 1.709 1.357 1.070
  600  1.6454  0.221  1.0000  1.000 2.076 2.377 2.023 1.608 1.177 0.846 0.599
  999  0.7449  0.221  1.0000  1.000 1.877 1.920 1.412 0.970 0.614 0.388 0.238
05 S_Vol = volcanic stratospheric sulfate (n=1.46, log-norm: r=.08um/sigma=.8)
  200  2.6437  0.386  1.0000  1.000 2.152 2.901 2.856 2.971 2.772 2.709 2.587
  300  2.6437  0.386  1.0000  1.000 2.152 2.901 2.856 2.971 2.772 2.709 2.587
  400  2.5603  0.386  1.0000  1.000 2.142 2.810 2.706 2.691 2.421 2.254 2.066
  600  2.2221  0.386  1.0000  1.000 2.127 2.673 2.488 2.308 1.963 1.698 1.461
  999  1.5319  0.386  1.0000  1.000 2.076 2.458 2.165 1.841 1.449 1.142 0.898
06 W_H01 = water haze (H1/Deirm.) (n=1.335, gamma:  r-mode=0.1um / alpha=2)
  200  2.8438   0.25  1.0000  1.000 2.454 3.376 3.624 3.608 3.300 2.911 2.526
  300  2.8438   0.25  1.0000  1.000 2.454 3.376 3.624 3.608 3.300 2.911 2.526
  400  2.3497   0.25  1.0000  1.000 2.431 3.235 3.355 3.108 2.686 2.180 1.690
  600  1.4037   0.25  1.0000  1.000 2.328 2.789 2.593 2.062 1.492 1.013 0.632
  999  0.5034   0.25  1.0000  1.000 1.916 1.870 1.233 0.704 0.338 0.154 0.062
07 W_H04 = water haze (H1/Deirm.) (n=1.335, gamma:  r-mode=0.4um / alpha=2)
  200  2.2995   1.00  1.0000  1.000 2.433 3.625 4.104 4.645 5.020 5.409 5.802
  300  2.2995   1.00  1.0000  1.000 2.433 3.625 4.104 4.645 5.020 5.409 5.802
  400  2.4743   1.00  1.0000  1.000 2.341 3.475 3.863 4.330 4.589 4.878 5.125
  600  2.6719   1.00  1.0000  1.000 2.325 3.334 3.624 3.896 3.939 3.968 3.964
  999  2.9565   1.00  1.0000  1.000 2.434 3.393 3.685 3.709 3.528 3.213 2.903
08 W_C02 = water cloud (C1/Deirm.) (n=1.335, gamma:  r-mode=2.0um / alpha=6)
  200  2.1410   3.00  1.0000  1.000 2.544 3.886 4.572 5.256 5.933 6.530 7.291
  300  2.1410   3.00  1.0000  1.000 2.544 3.886 4.572 5.256 5.933 6.530 7.291
  400  2.1778   3.00  1.0000  1.000 2.513 3.834 4.480 5.160 5.785 6.356 7.044
  600  2.2287   3.00  1.0000  1.000 2.483 3.767 4.359 4.998 5.542 6.054 6.639
  999  2.3071   3.00  1.0000  1.000 2.395 3.597 4.063 4.648 5.052 5.478 5.857
09 W_C04 = water cloud (C1/Deirm.) (n=1.335, gamma:  r-mode=4.0um / alpha=6)
  200  2.0835   6.00  1.0000  1.000 2.596 3.973 4.725 5.406 6.129 6.751 7.607
  300  2.0835   6.00  1.0000  1.000 2.596 3.973 4.725 5.406 6.129 6.751 7.607
  400  2.1064   6.00  1.0000  1.000 2.571 3.936 4.660 5.345 6.056 6.670 7.492
  600  2.1345   6.00  1.0000  1.000 2.557 3.902 4.596 5.263 5.923 6.507 7.267
  999  2.1922   6.00  1.0000  1.000 2.499 3.799 4.418 5.081 5.667 6.213 6.851
10 W_C08 = water cloud (C1/Deirm.) (n=1.335, gamma:  r-mode=8.0um / alpha=6)
  200  2.0539  12.00  1.0000  1.000 2.619 4.013 4.798 5.476 6.232 6.870 7.780
  300  2.0539  12.00  1.0000  1.000 2.619 4.013 4.798 5.476 6.232 6.870 7.780
  400  2.0643  12.00  1.0000  1.000 2.611 3.999 4.773 5.451 6.194 6.826 7.716
  600  2.0883  12.00  1.0000  1.000 2.589 3.965 4.712 5.394 6.121 6.744 7.599
  999  2.1236  12.00  1.0000  1.000 2.563 3.917 4.625 5.302 5.992 6.593 7.385
11 W_C13 = water cloud (C1/Deirm.) (n=1.335, gamma:  r-mode=13.3um / alpha=6)
  200  2.0440  20.00  1.0000  1.000 2.627 4.026 4.822 5.499 6.264 6.907 7.833
  300  2.0440  20.00  1.0000  1.000 2.627 4.026 4.822 5.499 6.264 6.907 7.833
  400  2.0529  20.00  1.0000  1.000 2.620 4.014 4.800 5.477 6.234 6.872 7.783
  600  2.0716  20.00  1.0000  1.000 2.604 3.990 4.755 5.435 6.178 6.807 7.690
  999  2.0978  20.00  1.0000  1.000 2.585 3.955 4.691 5.368 6.077 6.688 7.520
12 W_L06 = water cloud (Lacis) (n=1.335, r-mode=5.5um / alpha=11/3)
  200  2.0616  10.00  1.0000  1.000 2.613 4.002 4.779 5.458 6.205 6.839 7.735
  300  2.0616  10.00  1.0000  1.000 2.613 4.002 4.779 5.458 6.205 6.839 7.735
  400  2.0747  10.00  1.0000  1.000 2.601 3.984 4.745 5.425 6.158 6.785 7.657
  600  2.1005  10.00  1.0000  1.000 2.580 3.947 4.679 5.359 6.070 6.684 7.514
  999  2.1423  10.00  1.0000  1.000 2.545 3.884 4.568 5.244 5.909 6.496 7.250
13 Ice-H = hexagonal ice cloud (Mishchenko)
  200  2.0000    67.  1.0000  1.000 2.435 3.712 4.756 5.960 6.908 7.865 8.954
  300  2.0000    67.  1.0000  1.000 2.435 3.712 4.756 5.960 6.908 7.865 8.954
  400  2.0000    67.  1.0000  1.000 2.435 3.712 4.756 5.960 6.908 7.865 8.954
  600  2.0000    67.  1.0000  1.000 2.435 3.712 4.756 5.960 6.908 7.865 8.954
  999  2.0000    67.  1.0000  1.000 2.435 3.712 4.756 5.960 6.908 7.865 8.954
14 Ice-I = irregular ice cloud (Mishchenko)
  200  2.0000    50.  1.0000  1.000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
  300  2.0000    50.  1.0000  1.000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
  400  2.0000    50.  1.0000  1.000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
  600  2.0000    50.  1.0000  1.000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
  999  2.0000    50.  1.0000  1.000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
15 Mdust 0.15 = mineral dust (R.V.Martin)
  200  4.0154  0.151  0.964 1.000 2.104 2.573 2.380 1.837 1.226  0.608  0.153
  300  4.0154  0.151  0.964 1.000 2.104 2.573 2.380 1.837 1.226  0.608  0.153
  400  3.0582  0.151  0.986 1.000 2.021 2.061 1.505 0.757 0.210  0.057  0.010
  600  1.2133  0.151  0.994 1.000 1.712 1.120 0.368 0.096 0.015  0.002  0.000
  999  0.2195  0.151  0.988 1.000 0.628 0.573 0.113 0.011 0.001  0.000  0.000
16 Mdust 0.25 = mineral dust (R.V.Martin)
  200  2.6560  0.253  0.905 1.000 1.666 2.248 1.871 2.248 2.056  2.231  2.048
  300  2.6560  0.253  0.905 1.000 1.666 2.248 1.871 2.248 2.056  2.231  2.048
  400  3.9669  0.253  0.980 1.000 2.060 2.715 2.658 2.515 2.163  1.591  1.024
  600  3.2556  0.253  0.996 1.000 2.077 2.287 1.790 1.017 0.388  0.147  0.031
  999  1.1019  0.253  0.994 1.000 1.708 1.120 0.374 0.096 0.015  0.002  0.000
17 Mdust 0.4 = mineral dust (R.V.Martin)
  200  2.6071  0.402  0.862 1.000 2.190 3.255 3.624 4.518 4.572  5.092  4.820
  300  2.6071  0.402  0.862 1.000 2.190 3.255 3.624 4.518 4.572  5.092  4.820
  400  2.1923  0.402  0.941 1.000 1.517 2.098 1.515 2.102 1.809  2.234  2.079
  600  3.9815  0.402  0.993 1.000 2.085 2.791 2.764 2.694 2.379  1.855  1.308
  999  2.9227  0.402  0.996 1.000 2.079 2.211 1.661 0.887 0.289  0.090  0.018
18 Mdust 0.8 = mineral dust (R.V.Martin)
  200  2.3459  0.818  0.784 1.000 2.411 3.560 4.213 5.255 5.832  6.783  7.227
  300  2.3459  0.818  0.784 1.000 2.411 3.560 4.213 5.255 5.832  6.783  7.227
  400  2.3417  0.818  0.907 1.000 2.223 3.180 3.372 4.151 4.298  5.044  5.206
  600  2.4688  0.818  0.978 1.000 1.987 2.992 3.061 4.004 3.935  4.526  4.272
  999  3.3741  0.818  0.992 1.000 1.984 2.703 2.614 2.793 2.687  2.533  2.298
19 Mdust 1.5 = mineral dust (R.V.Martin)
  200  2.1925  1.491  0.694 1.000 2.582 3.893 4.901 6.101 7.097  8.288  9.215
  300  2.1925  1.491  0.694 1.000 2.582 3.893 4.901 6.101 7.097  8.288  9.215
  400  2.2457  1.491  0.860 1.000 2.380 3.497 3.982 5.010 5.498  6.555  7.020
  600  2.3919  1.491  0.964 1.000 2.237 3.288 3.523 4.492 4.768  5.704  5.996
  999  2.6314  1.491  0.980 1.000 2.133 3.236 3.499 4.489 4.582  5.171  5.055
20 Mdust 2.5 = mineral dust (R.V.Martin)
  200  2.1427  2.417  0.627 1.000 2.698 4.194 5.526 6.930 8.263  9.655 10.931
  300  2.1427  2.417  0.627 1.000 2.698 4.194 5.526 6.930 8.263  9.655 10.931
  400  2.1881  2.417  0.805 1.000 2.493 3.713 4.426 5.563 6.301  7.494  8.213
  600  2.1559  2.417  0.944 1.000 2.293 3.361 3.606 4.583 4.849  5.859  6.157
  999  2.3282  2.417  0.967 1.000 2.240 3.252 3.437 4.274 4.506  5.346  5.708
21 Mdust 4.0 = mineral dust (R.V.Martin)
